date,rank,song,artist
2/5/2023,19,Lavender Haze,Taylor Swift
2/5/2023,20,Bad Habit,Steve Lacy
2/5/2023,21,Thought You Should Know,Morgan Wallen
2/5/2023,22,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
2/5/2023,23,Escapism,RAYE Featuring 070 Shake
2/5/2023,24,"Going, Going, Gone",Luke Combs
2/5/2023,25,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
2/5/2023,26,Calm Down,Rema & Selena Gomez
2/5/2023,27,Last Night,Morgan Wallen
2/5/2023,28,Until I Found You,Stephen Sanchez
2/5/2023,29,Wait In The Truck,HARDY Featuring Lainey Wilson
2/5/2023,30,The Kind Of Love We Make,Luke Combs
2/5/2023,31,I Like You (A Happier Song),Post Malone Featuring Doja Cat
2/5/2023,32,Shirt,SZA
2/5/2023,33,Heart Like A Truck,Lainey Wilson
2/5/2023,34,Wait For U,Future Featuring Drake & Tems
2/5/2023,35,Snooze,SZA
2/5/2023,36,Sure Thing,Miguel
2/5/2023,37,Bebe Dame,Fuerza Regida X Grupo Frontera
2/5/2023,38,Players,Coi Leray
2/5/2023,39,Tomorrow 2,GloRilla & Cardi B
2/5/2023,40,Love Again,The Kid LAROI
2/5/2023,41,She Had Me At Heads Carolina,Cole Swindell
2/5/2023,42,Dawns,Zach Bryan Featuring Maggie Rogers
2/5/2023,43,Whiskey On You,Nate Smith
2/5/2023,44,Super Freaky Girl,Nicki Minaj
2/5/2023,45,Nobody Gets Me,SZA
2/5/2023,46,Unstoppable,Sia
2/5/2023,47,What My World Spins Around,Jordan Davis
2/5/2023,48,Sunroof,Nicky Youre & dazy
2/5/2023,49,I Ain't Worried,OneRepublic
2/5/2023,50,About Damn Time,Lizzo
2/5/2023,51,Lift Me Up,Rihanna
2/5/2023,52,Que Vuelvas,Carin Leon X Grupo Frontera
2/5/2023,53,Low,SZA
2/5/2023,54,One Thing At A Time,Morgan Wallen
2/5/2023,55,Tennessee Orange,Megan Moroney
2/5/2023,56,Bloody Mary,Lady Gaga
2/5/2023,57,What He Didn't Do,Carly Pearce
2/5/2023,58,I Wrote The Book,Morgan Wallen
2/5/2023,59,Freestyle,Lil Baby
2/5/2023,60,Handle On You,Parker McCollum
2/5/2023,61,Everything I Love,Morgan Wallen
2/5/2023,62,Wild As Her,Corey Kent
2/5/2023,63,Forget Me,Lewis Capaldi
2/5/2023,64,Growin' Up And Gettin' Old,Luke Combs
2/5/2023,65,Here With Me,d4vd
2/5/2023,66,The Color Violet,Tory Lanez
2/5/2023,67,Spin Bout U,Drake & 21 Savage
2/5/2023,68,Blind,SZA
2/5/2023,69,Love You Better,Future
2/5/2023,70,La Bachata,Manuel Turizo
2/5/2023,71,I'm Not Here To Make Friends,Sam Smith
2/5/2023,72,Nonsense,Sabrina Carpenter
2/5/2023,73,No Se Va,Grupo Frontera
2/5/2023,74,10:35,Tiesto Featuring Tate McRae
2/5/2023,75,Snap,Rosa Linn
2/5/2023,76,Shut Up My Moms Calling,Hotel Ugly
2/5/2023,77,OMG,NewJeans
2/5/2023,78,Love Language,SZA
2/5/2023,79,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
2/5/2023,80,The Black Seminole.,Lil Yachty
2/5/2023,81,You Didn't,Brett Young
2/5/2023,82,I Wish You Roses,Kali Uchis
2/5/2023,83,La Jumpa,Arcangel & Bad Bunny
2/5/2023,84,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
2/5/2023,85,Do It Again,NLE Choppa & 2Rare
2/5/2023,86,Fin de Semana,Junior H X Oscar Maydon
2/5/2023,87,Circo Loco,Drake & 21 Savage
2/5/2023,88,That's What Tequila Does,Jason Aldean
2/5/2023,89,Back End,Finesse2Tymes
2/5/2023,90,Ditto,NewJeans
2/5/2023,91,Human,Cody Johnson
2/5/2023,92,Tennessee Fan,Morgan Wallen
2/5/2023,93,Knight Crawler,Trippie Redd & Juice WRLD
2/5/2023,94,California Breeze,Lil Baby
2/5/2023,95,Next Thing You Know,Jordan Davis
2/5/2023,96,Hey Mor,Ozuna Featuring Feid
2/5/2023,97,Gato de Noche,Nengo Flow & Bad Bunny
2/5/2023,98,Heart To Heart,Mac DeMarco
2/5/2023,99,Never Gonna Not Dance Again,P!nk
2/5/2023,100,Dancin' In The Country,Tyler Hubbard
2/12/2023,1,Flowers,Miley Cyrus
2/12/2023,2,Kill Bill,SZA
2/12/2023,3,Last Night,Morgan Wallen
2/12/2023,4,Unholy,Sam Smith & Kim Petras
2/12/2023,5,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2/12/2023,6,Cuff It,Beyonce
2/12/2023,7,Anti-Hero,Taylor Swift
2/12/2023,8,Die For You,The Weeknd & Ariana Grande
2/12/2023,9,I'm Good (Blue),David Guetta & Bebe Rexha
2/12/2023,10,As It Was,Harry Styles
2/12/2023,11,Rich Flex,Drake & 21 Savage
2/12/2023,12,Just Wanna Rock,Lil Uzi Vert
2/12/2023,13,Thought You Should Know,Morgan Wallen
2/12/2023,14,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
2/12/2023,15,Made You Look,Meghan Trainor
2/12/2023,16,Under The Influence,Chris Brown
2/12/2023,17,Golden Hour,JVKE
2/12/2023,18,You Proof,Morgan Wallen
2/12/2023,19,Rock And A Hard Place,Bailey Zimmerman
2/12/2023,20,Something In The Orange,Zach Bryan
2/12/2023,21,Thank God,Kane Brown With Katelyn Brown
2/12/2023,22,Bad Habit,Steve Lacy
2/12/2023,23,"Going, Going, Gone",Luke Combs
2/12/2023,24,Escapism,RAYE Featuring 070 Shake
2/12/2023,25,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
2/12/2023,26,Lavender Haze,Taylor Swift
2/12/2023,27,Calm Down,Rema & Selena Gomez
2/12/2023,28,Players,Coi Leray
2/12/2023,29,Shirt,SZA
2/12/2023,30,Sure Thing,Miguel
2/12/2023,31,The Kind Of Love We Make,Luke Combs
2/12/2023,32,Heart Like A Truck,Lainey Wilson
2/12/2023,33,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
2/12/2023,34,Snooze,SZA
2/12/2023,35,Until I Found You,Stephen Sanchez
2/12/2023,36,Wait For U,Future Featuring Drake & Tems
2/12/2023,37,I Like You (A Happier Song),Post Malone Featuring Doja Cat
2/12/2023,38,I Wrote The Book,Morgan Wallen
2/12/2023,39,Bebe Dame,Fuerza Regida X Grupo Frontera
2/12/2023,40,Tomorrow 2,GloRilla & Cardi B
2/12/2023,41,About Damn Time,Lizzo
2/12/2023,42,Wait In The Truck,HARDY Featuring Lainey Wilson
2/12/2023,43,She Had Me At Heads Carolina,Cole Swindell
2/12/2023,44,Nobody Gets Me,SZA
2/12/2023,45,What My World Spins Around,Jordan Davis
2/12/2023,46,Unstoppable,Sia
2/12/2023,47,One Thing At A Time,Morgan Wallen
2/12/2023,48,Whiskey On You,Nate Smith
2/12/2023,49,Dawns,Zach Bryan Featuring Maggie Rogers
2/12/2023,50,Love Again,The Kid LAROI
2/12/2023,51,Everything I Love,Morgan Wallen
2/12/2023,52,Lift Me Up,Rihanna
2/12/2023,53,Que Vuelvas,Carin Leon X Grupo Frontera
2/12/2023,54,Low,SZA
2/12/2023,55,Tennessee Orange,Megan Moroney
2/12/2023,56,X Si Volvemos,Karol G x Romeo Santos
2/12/2023,57,Bloody Mary,Lady Gaga
2/12/2023,58,Handle On You,Parker McCollum
2/12/2023,59,What He Didn't Do,Carly Pearce
2/12/2023,60,Freestyle,Lil Baby
2/12/2023,61,Wild As Her,Corey Kent
2/12/2023,62,Spin Bout U,Drake & 21 Savage
2/12/2023,63,You Didn't,Brett Young
2/12/2023,64,Growin' Up And Gettin' Old,Luke Combs
2/12/2023,65,Nonsense,Sabrina Carpenter
2/12/2023,66,Here With Me,d4vd
2/12/2023,67,The Color Violet,Tory Lanez
2/12/2023,68,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
2/12/2023,69,10:35,Tiesto Featuring Tate McRae
2/12/2023,70,La Bachata,Manuel Turizo
2/12/2023,71,Forget Me,Lewis Capaldi
2/12/2023,72,Shut Up My Moms Calling,Hotel Ugly
2/12/2023,73,Blind,SZA
2/12/2023,74,OMG,NewJeans
2/12/2023,75,No Se Va,Grupo Frontera
2/12/2023,76,Love You Better,Future
2/12/2023,77,La Jumpa,Arcangel & Bad Bunny
2/12/2023,78,PRC,Peso Pluma X Natanael Cano
2/12/2023,79,That's What Tequila Does,Jason Aldean
2/12/2023,80,Love Language,SZA
2/12/2023,81,Tennessee Fan,Morgan Wallen
2/12/2023,82,Ditto,NewJeans
2/12/2023,83,Watch The World Burn,Falling In Reverse
2/12/2023,84,Human,Cody Johnson
2/12/2023,85,In Ha Mood,Ice Spice
2/12/2023,86,Back End,Finesse2Tymes
2/12/2023,87,Do It Again,NLE Choppa & 2Rare
2/12/2023,88,Hey Mor,Ozuna Featuring Feid
2/12/2023,89,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
2/12/2023,90,Ghost In The Machine,SZA Featuring Phoebe Bridgers
2/12/2023,91,Fin de Semana,Junior H X Oscar Maydon
2/12/2023,92,Snap,Rosa Linn
2/12/2023,93,California Breeze,Lil Baby
2/12/2023,94,I'm Not Here To Make Friends,Sam Smith
2/12/2023,95,Gato de Noche,Nengo Flow & Bad Bunny
2/12/2023,96,Yandel 150,Yandel & Feid
2/12/2023,97,Heart To Heart,Mac DeMarco
2/12/2023,98,Next Thing You Know,Jordan Davis
2/12/2023,99,Never Gonna Not Dance Again,P!nk
2/12/2023,100,Open Arms,SZA Featuring Travis Scott
2/19/2023,1,Flowers,Miley Cyrus
2/19/2023,2,Kill Bill,SZA
2/19/2023,3,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2/19/2023,4,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
2/19/2023,5,Last Night,Morgan Wallen
2/19/2023,6,Unholy,Sam Smith & Kim Petras
2/19/2023,7,Die For You,The Weeknd & Ariana Grande
2/19/2023,8,Anti-Hero,Taylor Swift
2/19/2023,9,Cuff It,Beyonce
2/19/2023,10,I'm Good (Blue),David Guetta & Bebe Rexha
2/19/2023,11,Just Wanna Rock,Lil Uzi Vert
2/19/2023,12,As It Was,Harry Styles
2/19/2023,13,Thank God,Kane Brown With Katelyn Brown
2/19/2023,14,Rich Flex,Drake & 21 Savage
2/19/2023,15,Love You Anyway,Luke Combs
2/19/2023,16,Thought You Should Know,Morgan Wallen
2/19/2023,17,Under The Influence,Chris Brown
2/19/2023,18,Rock And A Hard Place,Bailey Zimmerman
2/19/2023,19,Golden Hour,JVKE
2/19/2023,20,Made You Look,Meghan Trainor
2/19/2023,21,Something In The Orange,Zach Bryan
2/19/2023,22,Players,Coi Leray
2/19/2023,23,You Proof,Morgan Wallen
2/19/2023,24,Lavender Haze,Taylor Swift
2/19/2023,25,Calm Down,Rema & Selena Gomez
2/19/2023,26,Escapism,RAYE Featuring 070 Shake
2/19/2023,27,"Going, Going, Gone",Luke Combs
2/19/2023,28,Bad Habit,Steve Lacy
2/19/2023,29,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
2/19/2023,30,Shirt,SZA
2/19/2023,31,Sure Thing,Miguel
2/19/2023,32,Until I Found You,Stephen Sanchez
2/19/2023,33,Snooze,SZA
2/19/2023,34,Heart Like A Truck,Lainey Wilson
2/19/2023,35,The Kind Of Love We Make,Luke Combs
2/19/2023,36,Wait For U,Future Featuring Drake & Tems
2/19/2023,37,Umbrella,Rihanna Featuring Jay-Z
2/19/2023,38,Lost,Linkin Park
2/19/2023,39,I Like You (A Happier Song),Post Malone Featuring Doja Cat
2/19/2023,40,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
2/19/2023,41,Lift Me Up,Rihanna
2/19/2023,42,Bebe Dame,Fuerza Regida X Grupo Frontera
2/19/2023,43,Wait In The Truck,HARDY Featuring Lainey Wilson
2/19/2023,44,Diamonds,Rihanna
2/19/2023,45,Tomorrow 2,GloRilla & Cardi B
2/19/2023,46,About Damn Time,Lizzo
2/19/2023,47,She Had Me At Heads Carolina,Cole Swindell
2/19/2023,48,We Found Love,Rihanna Featuring Calvin Harris
2/19/2023,49,What My World Spins Around,Jordan Davis
2/19/2023,50,Unstoppable,Sia
2/19/2023,51,Nobody Gets Me,SZA
2/19/2023,52,Special,Lizzo Featuring SZA
2/19/2023,53,Love Again,The Kid LAROI
2/19/2023,54,Que Vuelvas,Carin Leon X Grupo Frontera
2/19/2023,55,Bloody Mary,Lady Gaga
2/19/2023,56,I Wrote The Book,Morgan Wallen
2/19/2023,57,Tennessee Orange,Megan Moroney
2/19/2023,58,What He Didn't Do,Carly Pearce
2/19/2023,59,One Thing At A Time,Morgan Wallen
2/19/2023,60,Handle On You,Parker McCollum
2/19/2023,61,Dawns,Zach Bryan Featuring Maggie Rogers
2/19/2023,62,Low,SZA
2/19/2023,63,Wild As Her,Corey Kent
2/19/2023,64,Spin Bout U,Drake & 21 Savage
2/19/2023,65,Freestyle,Lil Baby
2/19/2023,66,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
2/19/2023,67,Everything I Love,Morgan Wallen
2/19/2023,68,Nonsense,Sabrina Carpenter
2/19/2023,69,10:35,Tiesto Featuring Tate McRae
2/19/2023,70,In Ha Mood,Ice Spice
2/19/2023,71,Here With Me,d4vd
2/19/2023,72,You Didn't,Brett Young
2/19/2023,73,PRC,Peso Pluma X Natanael Cano
2/19/2023,74,Growin' Up And Gettin' Old,Luke Combs
2/19/2023,75,No Se Va,Grupo Frontera
2/19/2023,76,OMG,NewJeans
2/19/2023,77,The Color Violet,Tory Lanez
2/19/2023,78,That's What Tequila Does,Jason Aldean
2/19/2023,79,X Si Volvemos,Karol G x Romeo Santos
2/19/2023,80,Love You Better,Future
2/19/2023,81,Blind,SZA
2/19/2023,82,La Jumpa,Arcangel & Bad Bunny
2/19/2023,83,Shut Up My Moms Calling,Hotel Ugly
2/19/2023,84,Fix'n To Break,Bailey Zimmerman
2/19/2023,85,Hey Mor,Ozuna Featuring Feid
2/19/2023,86,Forever,Lil Baby Featuring Fridayy
2/19/2023,87,Do It Again,NLE Choppa & 2Rare
2/19/2023,88,Human,Cody Johnson
2/19/2023,89,Ghost In The Machine,SZA Featuring Phoebe Bridgers
2/19/2023,90,Yandel 150,Yandel & Feid
2/19/2023,91,Love Language,SZA
2/19/2023,92,Dancin' In The Country,Tyler Hubbard
2/19/2023,93,Forget Me,Lewis Capaldi
2/19/2023,94,Back End,Finesse2Tymes
2/19/2023,95,California Breeze,Lil Baby
2/19/2023,96,Next Thing You Know,Jordan Davis
2/19/2023,97,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
2/19/2023,98,Gato de Noche,Nengo Flow & Bad Bunny
2/19/2023,99,Painting Pictures,Superstar Pride
2/19/2023,100,Tennessee Fan,Morgan Wallen
2/26/2023,1,Flowers,Miley Cyrus
2/26/2023,2,Kill Bill,SZA
2/26/2023,3,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
2/26/2023,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2/26/2023,5,Last Night,Morgan Wallen
2/26/2023,6,Die For You,The Weeknd & Ariana Grande
2/26/2023,7,Unholy,Sam Smith & Kim Petras
2/26/2023,8,Anti-Hero,Taylor Swift
2/26/2023,9,Cuff It,Beyonce
2/26/2023,10,I'm Good (Blue),David Guetta & Bebe Rexha
2/26/2023,11,Just Wanna Rock,Lil Uzi Vert
2/26/2023,12,As It Was,Harry Styles
2/26/2023,13,Thank God,Kane Brown With Katelyn Brown
2/26/2023,14,Rich Flex,Drake & 21 Savage
2/26/2023,15,Thought You Should Know,Morgan Wallen
2/26/2023,16,Rock And A Hard Place,Bailey Zimmerman
2/26/2023,17,Players,Coi Leray
2/26/2023,18,Under The Influence,Chris Brown
2/26/2023,19,Calm Down,Rema & Selena Gomez
2/26/2023,20,You Proof,Morgan Wallen
2/26/2023,21,Made You Look,Meghan Trainor
2/26/2023,22,Lavender Haze,Taylor Swift
2/26/2023,23,Escapism,RAYE Featuring 070 Shake
2/26/2023,24,"Going, Going, Gone",Luke Combs
2/26/2023,25,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
2/26/2023,26,Something In The Orange,Zach Bryan
2/26/2023,27,Golden Hour,JVKE
2/26/2023,28,Sure Thing,Miguel
2/26/2023,29,Heart Like A Truck,Lainey Wilson
2/26/2023,30,Bad Habit,Steve Lacy
2/26/2023,31,Until I Found You,Stephen Sanchez
2/26/2023,32,Shirt,SZA
2/26/2023,33,Snooze,SZA
2/26/2023,34,Painting Pictures,Superstar Pride
2/26/2023,35,Wait For U,Future Featuring Drake & Tems
2/26/2023,36,The Kind Of Love We Make,Luke Combs
2/26/2023,37,I Like You (A Happier Song),Post Malone Featuring Doja Cat
2/26/2023,38,Love You Anyway,Luke Combs
2/26/2023,39,Bebe Dame,Fuerza Regida X Grupo Frontera
2/26/2023,40,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
2/26/2023,41,Wait In The Truck,HARDY Featuring Lainey Wilson
2/26/2023,42,She Had Me At Heads Carolina,Cole Swindell
2/26/2023,43,Dawns,Zach Bryan Featuring Maggie Rogers
2/26/2023,44,What My World Spins Around,Jordan Davis
2/26/2023,45,About Damn Time,Lizzo
2/26/2023,46,Tomorrow 2,GloRilla & Cardi B
2/26/2023,47,Bloody Mary,Lady Gaga
2/26/2023,48,Nobody Gets Me,SZA
2/26/2023,49,Hope,NF
2/26/2023,50,Unstoppable,Sia
2/26/2023,51,Favorite Song,Toosii
2/26/2023,52,Lift Me Up,Rihanna
2/26/2023,53,What He Didn't Do,Carly Pearce
2/26/2023,54,Love Again,The Kid LAROI
2/26/2023,55,Special,Lizzo Featuring SZA
2/26/2023,56,Que Vuelvas,Carin Leon X Grupo Frontera
2/26/2023,57,Spin Bout U,Drake & 21 Savage
2/26/2023,58,Handle On You,Parker McCollum
2/26/2023,59,Wild As Her,Corey Kent
2/26/2023,60,One Thing At A Time,Morgan Wallen
2/26/2023,61,I Wrote The Book,Morgan Wallen
2/26/2023,62,Watch This (ARIZONATEARS Pluggnb Remix),Lil Uzi Vert
2/26/2023,63,Heaven,Niall Horan
2/26/2023,64,Freestyle,Lil Baby
2/26/2023,65,Low,SZA
2/26/2023,66,Tennessee Orange,Megan Moroney
2/26/2023,67,Next Thing You Know,Jordan Davis
2/26/2023,68,In Ha Mood,Ice Spice
2/26/2023,69,No Time Wasted,Polo G & Future
2/26/2023,70,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
2/26/2023,71,You Didn't,Brett Young
2/26/2023,72,Nonsense,Sabrina Carpenter
2/26/2023,73,10:35,Tiesto Featuring Tate McRae
2/26/2023,74,Lost,Linkin Park
2/26/2023,75,Ceilings,Lizzy McAlpine
2/26/2023,76,Trance,"Metro Boomin, Travis Scott & Young Thug"
2/26/2023,77,That's What Tequila Does,Jason Aldean
2/26/2023,78,Here With Me,d4vd
2/26/2023,79,PRC,Peso Pluma X Natanael Cano
2/26/2023,80,Everything I Love,Morgan Wallen
2/26/2023,81,Forever,Lil Baby Featuring Fridayy
2/26/2023,82,No Se Va,Grupo Frontera
2/26/2023,83,Lottery,Latto Featuring LU KALA
2/26/2023,84,The Color Violet,Tory Lanez
2/26/2023,85,Human,Cody Johnson
2/26/2023,86,Love You Better,Future
2/26/2023,87,Dancin' In The Country,Tyler Hubbard
2/26/2023,88,Hey Mor,Ozuna Featuring Feid
2/26/2023,89,OMG,NewJeans
2/26/2023,90,Yandel 150,Yandel & Feid
2/26/2023,91,X Si Volvemos,Karol G x Romeo Santos
2/26/2023,92,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
2/26/2023,93,Blind,SZA
2/26/2023,94,Trustfall,P!nk
2/26/2023,95,Do It Again,NLE Choppa & 2Rare
2/26/2023,96,Slut Me Out,NLE Choppa
2/26/2023,97,La Jumpa,Arcangel & Bad Bunny
2/26/2023,98,Shut Up My Moms Calling,Hotel Ugly
2/26/2023,99,Gold,Dierks Bentley
2/26/2023,100,Back End,Finesse2Tymes
3/5/2023,1,Die For You,The Weeknd & Ariana Grande
3/5/2023,2,Flowers,Miley Cyrus
3/5/2023,3,Kill Bill,SZA
3/5/2023,4,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
3/5/2023,5,Last Night,Morgan Wallen
3/5/2023,6,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
3/5/2023,7,TQG,Karol G x Shakira
3/5/2023,8,Unholy,Sam Smith & Kim Petras
3/5/2023,9,Anti-Hero,Taylor Swift
3/5/2023,10,Cuff It,Beyonce
3/5/2023,11,I'm Good (Blue),David Guetta & Bebe Rexha
3/5/2023,12,Just Wanna Rock,Lil Uzi Vert
3/5/2023,13,Thought You Should Know,Morgan Wallen
3/5/2023,14,As It Was,Harry Styles
3/5/2023,15,Calm Down,Rema & Selena Gomez
3/5/2023,16,Players,Coi Leray
3/5/2023,17,Rock And A Hard Place,Bailey Zimmerman
3/5/2023,18,Under The Influence,Chris Brown
3/5/2023,19,Thank God,Kane Brown With Katelyn Brown
3/5/2023,20,Rich Flex,Drake & 21 Savage
3/5/2023,21,You Proof,Morgan Wallen
3/5/2023,22,Escapism,RAYE Featuring 070 Shake
3/5/2023,23,Lavender Haze,Taylor Swift
3/5/2023,24,"Going, Going, Gone",Luke Combs
3/5/2023,25,Painting Pictures,Superstar Pride
3/5/2023,26,Something In The Orange,Zach Bryan
3/5/2023,27,Until I Found You,Stephen Sanchez
3/5/2023,28,Sure Thing,Miguel
3/5/2023,29,Heart Like A Truck,Lainey Wilson
3/5/2023,30,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
3/5/2023,31,Golden Hour,JVKE
3/5/2023,32,Snooze,SZA
3/5/2023,33,Shirt,SZA
3/5/2023,34,Made You Look,Meghan Trainor
3/5/2023,35,Bad Habit,Steve Lacy
3/5/2023,36,The Kind Of Love We Make,Luke Combs
3/5/2023,37,I Like You (A Happier Song),Post Malone Featuring Doja Cat
3/5/2023,38,Wait For U,Future Featuring Drake & Tems
3/5/2023,39,Love You Anyway,Luke Combs
3/5/2023,40,Wait In The Truck,HARDY Featuring Lainey Wilson
3/5/2023,41,Bebe Dame,Fuerza Regida X Grupo Frontera
3/5/2023,42,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
3/5/2023,43,Nobody Gets Me,SZA
3/5/2023,44,Favorite Song,Toosii
3/5/2023,45,She Had Me At Heads Carolina,Cole Swindell
3/5/2023,46,Bloody Mary,Lady Gaga
3/5/2023,47,Spin Bout U,Drake & 21 Savage
3/5/2023,48,X Si Volvemos,Karol G x Romeo Santos
3/5/2023,49,Unstoppable,Sia
3/5/2023,50,About Damn Time,Lizzo
3/5/2023,51,One Thing At A Time,Morgan Wallen
3/5/2023,52,Dawns,Zach Bryan Featuring Maggie Rogers
3/5/2023,53,Special,Lizzo Featuring SZA
3/5/2023,54,What He Didn't Do,Carly Pearce
3/5/2023,55,Handle On You,Parker McCollum
3/5/2023,56,Watch This (ARIZONATEARS Pluggnb Remix),Lil Uzi Vert
3/5/2023,57,Que Vuelvas,Carin Leon X Grupo Frontera
3/5/2023,58,Wild As Her,Corey Kent
3/5/2023,59,Love Again,The Kid LAROI
3/5/2023,60,Ceilings,Lizzy McAlpine
3/5/2023,61,Freestyle,Lil Baby
3/5/2023,62,Heaven,Niall Horan
3/5/2023,63,Low,SZA
3/5/2023,64,I Wrote The Book,Morgan Wallen
3/5/2023,65,Lift Me Up,Rihanna
3/5/2023,66,Kant Nobody,Lil Wayne Featuring DMX
3/5/2023,67,Next Thing You Know,Jordan Davis
3/5/2023,68,Mientras Me Curo del Cora,Karol G
3/5/2023,69,In Ha Mood,Ice Spice
3/5/2023,70,Tennessee Orange,Megan Moroney
3/5/2023,71,Gucci Los Panos,Karol G
3/5/2023,72,Private Landing,Don Toliver Featuring Justin Bieber & Future
3/5/2023,73,Tus Gafitas,Karol G
3/5/2023,74,Gatubela,Karol G x Maldy
3/5/2023,75,Nonsense,Sabrina Carpenter
3/5/2023,76,Forever,Lil Baby Featuring Fridayy
3/5/2023,77,No More Talk,Yeat
3/5/2023,78,You Didn't,Brett Young
3/5/2023,79,Split,Yeat
3/5/2023,80,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
3/5/2023,81,10:35,Tiesto Featuring Tate McRae
3/5/2023,82,Cairo,Karol G & Ovy On The Drums
3/5/2023,83,Shmunk,Yeat Featuring YoungBoy Never Broke Again
3/5/2023,84,Hope,NF
3/5/2023,85,That's What Tequila Does,Jason Aldean
3/5/2023,86,Pero Tu,Karol G & Quevedo
3/5/2023,87,Trance,"Metro Boomin, Travis Scott & Young Thug"
3/5/2023,88,Dirt,Key Glock
3/5/2023,89,Joe,Luke Combs
3/5/2023,90,Gold,Dierks Bentley
3/5/2023,91,PRC,Peso Pluma X Natanael Cano
3/5/2023,92,Human,Cody Johnson
3/5/2023,93,Everything I Love,Morgan Wallen
3/5/2023,94,Here With Me,d4vd
3/5/2023,95,Ojos Ferrari,"Karol G, Justin Quiles & Angel Dior"
3/5/2023,96,Besties,Karol G
3/5/2023,97,Yandel 150,Yandel & Feid
3/5/2023,98,Manana Sera Bonito,Karol G & Carla Morrison
3/5/2023,99,The Color Violet,Tory Lanez
3/5/2023,100,Die 4 Me,Halsey
3/12/2023,1,Last Night,Morgan Wallen
3/12/2023,2,Flowers,Miley Cyrus
3/12/2023,3,Kill Bill,SZA
3/12/2023,4,Die For You,The Weeknd & Ariana Grande
3/12/2023,5,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
3/12/2023,6,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
3/12/2023,7,Thought You Should Know,Morgan Wallen
3/12/2023,8,You Proof,Morgan Wallen
3/12/2023,9,Thinkin' Bout Me,Morgan Wallen
3/12/2023,10,One Thing At A Time,Morgan Wallen
3/12/2023,11,Ain't That Some,Morgan Wallen
3/12/2023,12,Anti-Hero,Taylor Swift
3/12/2023,13,Red Ruby Da Sleeze,Nicki Minaj
3/12/2023,14,Everything I Love,Morgan Wallen
3/12/2023,15,Man Made A Bar,Morgan Wallen Featuring Eric Church
3/12/2023,16,Unholy,Sam Smith & Kim Petras
3/12/2023,17,TQG,Karol G x Shakira
3/12/2023,18,I Wrote The Book,Morgan Wallen
3/12/2023,19,Calm Down,Rema & Selena Gomez
3/12/2023,20,Rock And A Hard Place,Bailey Zimmerman
3/12/2023,21,I'm Good (Blue),David Guetta & Bebe Rexha
3/12/2023,22,Just Wanna Rock,Lil Uzi Vert
3/12/2023,23,As It Was,Harry Styles
3/12/2023,24,Players,Coi Leray
3/12/2023,25,Cuff It,Beyonce
3/12/2023,26,Under The Influence,Chris Brown
3/12/2023,27,'98 Braves,Morgan Wallen
3/12/2023,28,Thank God,Kane Brown With Katelyn Brown
3/12/2023,29,Devil Don't Know,Morgan Wallen
3/12/2023,30,Sunrise,Morgan Wallen
3/12/2023,31,Lavender Haze,Taylor Swift
3/12/2023,32,Born With A Beer In My Hand,Morgan Wallen
3/12/2023,33,Escapism,RAYE Featuring 070 Shake
3/12/2023,34,Rich Flex,Drake & 21 Savage
3/12/2023,35,Whiskey Friends,Morgan Wallen
3/12/2023,36,"Going, Going, Gone",Luke Combs
3/12/2023,37,Sure Thing,Miguel
3/12/2023,38,Tennessee Numbers,Morgan Wallen
3/12/2023,39,Until I Found You,Stephen Sanchez
3/12/2023,40,Cowgirls,Morgan Wallen Featuring ERNEST
3/12/2023,41,Hope That's True,Morgan Wallen
3/12/2023,42,Something In The Orange,Zach Bryan
3/12/2023,43,Dying Man,Morgan Wallen
